Link to Explanations,,,Theme,,,Data,,,,,,Sematic,,Context,,,,,,,Visual Annotation,,,Visual Layout,,,,,,,,Visual Encoding Channels,,,,,,,,,,,,Visual Marks,,,,,,,,,
,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Week,Who,Internal: Self-Reflection,External: People,External: Physical Objects/Environments,Nominal,Ordinal,Numerical,Temporal,Intensity or Amount or Frequency,Geocoord (approximate),Relationship,Group,Who/Whom,Where,When,//Exact Time Recorded,Why,What,How,Personal Input,Highlighting,Attribute,List,Grid,Stacked,Radial,Tree,Network,Facet,Freeform,Shape,Position,Size,Color,Weight/boldness,Texture,Orientation,Stroke,Connection,Containment/Enclosure,Onomatopoeia,Fill/NoFill,Dot,Line,Rect,Triangle,Circle,Repeat,Area,Glyph,Real Object,Personal
laughter,42,Giorgia,,x,,x,,x,,,,x,,x,,,,,x,x,,x,xxx,,,,x,,x,,x,x,,x,x,,,,,x,,,,x,x,,,,,,x,,new
laughter,42,Stefanie,,x,xx,x,x,,x,,,,,x,,x,,,x,x,new,x,x,,x,,,,,,,,x,x,x,,x,,,,,,,x,,,,x,,,,,
trying new things,43,Giorgia,,,x,x,xxx,xx,,,,,,,,,,,x,x,new,x,x,x,,,,,x,x,x,xx,,x,x,,x,,x,xxx,,,,x,x,,,,,,x,,
trying new things,43,Stefanie,,,x,x,,,x,,,,,,,x,,,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,new
distractions,44,Giorgia,,,x,x,,x,x,,,,,x,,x,,,x,x,,xxx,x,,x,,,,,,,,x,x,x,,,,,,,,,x,x,,,,,,x,,new
distractions,44,Stefanie,,,x,x,,,xxx,,,,,,,x,,,x,,,,,,,xxx,,,,x,xx,,x,,x,,,,,,,,,,x,,,,,,,,new
apologies,45,Giorgia,,x,,x,,xx,,,,,,x,,,,x,x,x,new,x,x,,xx,x,,x,,,,,,x,x,,,xx,,x,,,,x,x,,,,,,x,,new
apologies,45,Stefanie,,x,,x,,,,,,,,x,,,,x,x,,new,x,xxx,,,,,x,,xxx,,,,,x,,,,,,,,,,x,,,,,,x,,new
books we own,46,Giorgia,,,x,x,x,x,,,,,,x,x,,,,x,x,,x,x,x,,,,,,x,,x,x,x,x,,,,,x,,,,x,x,x,,,x,,x,,new
books we own,46,Stefanie,,,x,x,,,,,,,,x,,,,,x,,,x,x,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,new
smells/scents,47,Giorgia,,xx,x,x,,x,xxx,,,,,xx,,,,,x,x,new,,x,,x,,,,,,,,xxx,x,x,,,,,,,,,x,x,,,,x,,x,,new
smells/scents,47,Stefanie,xx,xx,x,x,,,,,,,,xx,x,,,,x,,new,x,xxx,,,,,,,x,x,,,,x,,,,,,x,,x,x,,,,x,,,x,,
eavesdropping,48,Giorgia,,x,,x,,x,x,,,,,x,x,x,,,x,x,new,x,x,x,xxx,,,,,x,,,x,x,x,,x,,x,x,,,x,x,x,,,x,,,x,,new
eavesdropping,48,Stefanie,,x,,x,,,,,,,,x,x,,,,x,,,x,,xx,xx,,,,,xxx,xxx,,xx,,x,,,,,,,,x,x,,,,,,,x,,new
"""data""",49,Giorgia,,x,,x,,,,,,,x,x,,,,,x,,,x,x,,,,,,,x,x,x,x,,x,,,,,,,,,,,,,x,,,x,,new
"""data""",49,Stefanie,,x,,x,,,x,,,,,x,x,x,,,x,,,,,,x,,,,,,,,x,,x,,x,,,,,,,,x,,,,,,,,
our phones,50,Giorgia,,,x,x,x,,,,,,x,,x,,,,x,x,,,x,,x,,,,,x,,x,,,x,,,,,,x,,,x,x,,,x,,,x,,new
our phones,50,Stefanie,,,x,x,x,,,,,,,,,,,,x,x,,x,,x,,,,,,,,,,xxx,x,,x,,,,,,x,x,x,,,,,,,,
privacy,51,Giorgia,x,xx,xx,x,xxx,xx,x,,,,,x,,x,,x,x,x,new,x,x,x,,,,,,,,,x,x,x,,,,,,,,,,x,,,,x,,x,,new
privacy,51,Stefanie,x,xx,,x,x,,,,,,,x,,,,,x,x,new,,,xxx,x,,,,,,,,,,x,,,,,,,,,,,,,x,,,x,,new
goodbye,52,Giorgia,,x,,x,,,x,,,,,x,,x,,,x,x,,x,x,,x,,,,,,,x,x,,x,,,,,,,,,x,,,x,,,,x,,new
goodbye,52,Stefanie,,x,,x,x,,x,,,,,x,x,x,new,,x,x,new,,,xxx,x,xxx,,,,,,,x,x,x,,,,,,,,,,,x,,x,,,x,,
,,,24,52,66,103,33,29,54,8,2,12,8,62,37,57,20,20,94,70,54,58,56,51,59,24,16,11,14,35,25,47,63,47,97,9,26,19,7,29,10,1,12,56,74,14,7,32,16,1,67,3,54
